variable,bin,n,eventos,no_eventos,pct_eventos,pct_no_eventos,woe,iv_bin
capacidad_ahorro,"(-8499997818916.001, 254000.0]",85999,2128,83871,0.034530308315015044,0.10502415186719134,1.1123529012253859,0.07841403139379177
capacidad_ahorro,"(1000000.0, 1212758.2]",80681,1579,79102,0.02562397086378495,0.099052395307995,1.3521206804300583,0.09928409122241241
capacidad_ahorro,"(1212758.2, 1517512.0]",85997,2185,83812,0.035455010017601776,0.10495027188459696,1.0852220675739843,0.07541779176989599
capacidad_ahorro,"(1517512.0, 2000000.0]",100023,3312,96711,0.05373814718979908,0.12110243960467948,0.8125136704380584,0.054734408486477135
capacidad_ahorro,"(2000000.0, 2830574.0]",71972,5443,66529,0.08830901259703285,0.08330844579682378,-0.058292236166806746,0.00029149422088567986
capacidad_ahorro,"(254000.0, 718722.8]",85996,1605,84391,0.0260457646228596,0.10567529747649772,1.4005159929356419,0.11152243427151431
capacidad_ahorro,"(2830574.0, 4590561.0]",85997,11049,74948,0.17925423618828223,0.09385074365211293,-0.6470994252117944,0.05526455093123493
capacidad_ahorro,"(4590561.0, 6192556.7]",85997,13449,72548,0.21818904471824987,0.09084545622454505,-0.8762020850621629,0.11157871775748221
capacidad_ahorro,"(6192556.7, 9000007796700.0]",85998,19126,66872,0.31028608972851085,0.08373795145834703,-1.309802444816418,0.2967333053748685
capacidad_ahorro,"(718722.8, 1000000.0]",91314,1759,89555,0.028544081503532524,0.11214167425814793,1.3683134088966382,0.11438770711762071
capacidad_ahorro,Sin dato,249,1,248,2.4334255331229773e-05,0.0003111724690627573,2.5484622792818383,0.0007309963679513797
cdt_n_obs_ventana,"(0.999, 4.0]",2617,943,1674,0.015306867405376467,0.0020968206463892612,-1.9878793581230692,0.026259979272031216
cdt_n_obs_ventana,"(4.0, 7.0]",12017,1126,10891,0.018275766965719756,0.01363841270238796,-0.2926856979326117,0.0013572872691240392
cdt_n_obs_ventana,"(7.0, 8.0]",7254,408,6846,0.006627297652460293,0.008573235327264303,0.25744805192350706,0.0005009778635428513
cdt_n_obs_ventana,"(8.0, 9.0]",1908,120,1788,0.0019549311312642968,0.0022395722460837224,0.13592992021963915,3.869124402863367e-05
cdt_n_obs_ventana,"(9.0, 19.0]",568,65,503,0.001062638913674784,0.0006304862319838715,-0.522019316031313,0.0002255920473173878
cdt_n_obs_ventana,= 0,835859,58974,776885,0.9567724979315044,0.9728214728458909,0.01663494522368465,0.00026697381859710855
cdt_saldo_prom_6m,"(10000000.0, 14000000.0]",2149,119,2030,0.0019386132831510983,0.0025425967921081202,0.27121300289230127,0.00016380818116166305
cdt_saldo_prom_6m,"(101054084.405, 4000000000.0]",2437,755,1682,0.012256253852892508,0.002106830387944798,-1.7608516930563973,0.0178716294917995
cdt_saldo_prom_6m,"(14000000.0, 19750000.0]",2343,181,2162,0.0029444210116479023,0.002707887497135587,-0.08374338776135702,1.9808117824361386e-05
cdt_saldo_prom_6m,"(19750000.0, 26125000.0]",2434,190,2244,0.0030904253593329223,0.002810568086622347,-0.09492210920725468,2.656464260267767e-05
cdt_saldo_prom_6m,"(19999.999, 3487690.355]",2437,109,2328,0.0017763862301677427,0.002915753080730735,0.49554704030339053,0.0005646098706162863
cdt_saldo_prom_6m,"(26125000.0, 38325833.333]",2436,249,2187,0.00404756497193472,0.0027391925549059407,-0.39045226982228987,0.0005108569800017625
cdt_saldo_prom_6m,"(3487690.355, 6278847.352]",2436,105,2331,0.0017114954089744005,0.0029195096876631775,0.5340481904697685,0.0006451378395953839
cdt_saldo_prom_6m,"(38325833.333, 55856276.513]",2436,325,2111,0.005280490574608222,0.002644025179284066,-0.6917165601371116,0.0018236867741741553
cdt_saldo_prom_6m,"(55856276.513, 101054084.405]",2436,427,2009,0.006935206515038448,0.002516300543581023,-1.013821047350045,0.004479979880124335
cdt_saldo_prom_6m,"(6278847.352, 10000000.0]",2820,202,2618,0.003285097822912949,0.003278891750866837,-0.0018909456895373422,1.1735345184553778e-08
cdt_saldo_prom_6m,= 0.0,834249,58359,775890,0.9467489698582136,0.9715718770387419,0.025881273010715765,0.0006424484376589116
cdt_saldo_prom_6m,Sin dato,1610,615,995,0.009985075111125532,0.0012465674004154808,-2.080697794982743,0.0181821937251141
cdt_saldo_snapshot,"(10000000.0, 14000000.0]",2174,153,2021,0.00249020546222918,0.0025313285561785266,0.016379063906892834,6.735577838455073e-07
cdt_saldo_snapshot,"(102983788.303, 4000000000.0]",2598,844,1754,0.01370018575148236,0.0021969903298616,-1.830320999371266,0.02105454014006388
cdt_saldo_snapshot,"(14000000.0, 20000000.0]",3154,291,2863,0.004728956952702319,0.0035856835620169236,-0.276755532103316,0.00031640723557869896
cdt_saldo_snapshot,"(19999.999, 3500000.0]",2652,137,2515,0.0022306400720293958,0.0031499168850195815,0.3450874946780664,0.00031723093231042054
cdt_saldo_snapshot,"(20000000.0, 27000000.0]",2040,188,1852,0.003058004753291208,0.0023197062331539553,-0.27632210786450434,0.0002040082033175699
cdt_saldo_snapshot,"(27000000.0, 40000000.0]",2928,391,2537,0.006351240641450971,0.0031774653531056202,-0.6925663502274959,0.002198049967891558
cdt_saldo_snapshot,"(3500000.0, 6275453.794]",2543,134,2409,0.0021819715613669364,0.0030171833569686665,0.3240948788918126,0.00027068786574455605
cdt_saldo_snapshot,"(40000000.0, 57190140.746]",2239,342,1897,0.0055563216339641315,0.002376055372420853,-0.8494946065791759,0.0027016190366667336
cdt_saldo_snapshot,"(57190140.746, 102983788.303]",2597,526,2071,0.00854132362126165,0.002593938710919524,-1.1917385282032547,0.007087727739709371
cdt_saldo_snapshot,"(6275453.794, 10000000.0]",3049,271,2778,0.004404500214952589,0.003479246298957228,-0.23581110480069511,0.00021818514815203567
cdt_saldo_snapshot,= 0.0,834249,58359,775890,0.9467566493352693,0.9715724853413975,0.02587378772652074,0.0006420796730787125
cdt_tendencia_6m,"(-494500000.001, 0.0]",847978,59606,788372,0.9670492800648955,0.987207429107732,0.020630722596857585,0.00041587718096886835
cdt_tendencia_6m,"(0.0, 1155555555.557]",8322,590,7732,0.009580206854593388,0.009682708929567605,0.010642526146965812,1.0908810130313536e-06
cdt_tendencia_6m,Sin dato,3923,1440,2483,0.02337051308051105,0.0031098619627004396,-2.01689676275202,0.04086364165076032
cuenta_ahorro_n_obs_ventana,0,477436,15047,462389,0.24412303898505816,0.5790073754993176,0.8636428594993769,0.2892204659887266
cuenta_ahorro_n_obs_ventana,1,251619,30090,221529,0.48817307224322265,0.27740079389924743,-0.5652066294074513,0.11912988901532737
cuenta_ahorro_n_obs_ventana,2,102165,12795,89370,0.20758772854848392,0.11191036702187605,-0.6178557820654758,0.059114811031983565
cuenta_ahorro_n_obs_ventana,3,27055,3442,23613,0.05584938107367089,0.029568990345483916,-0.63593225478855,0.016712548132500046
cuenta_ahorro_n_obs_ventana,4,1938,262,1676,0.004258667402131767,0.0020993250604189884,-0.7073404016741188,0.0015273900793390492
cuenta_ahorro_n_obs_ventana,5,10,0,10,8.111747432631938e-06,1.314817365606882e-05,0.48296955217469933,2.4324405176942232e-06
cuenta_ahorro_saldo_prom_6m,"(-1455.6209999999999, 0.0]",408602,5138,403464,0.08336375213945603,0.5052207608279838,1.801781895645546,0.7600943208061752
cuenta_ahorro_saldo_prom_6m,"(0.0, 4452.246]",53235,1007,52228,0.016345038489929346,0.06540085312810508,1.3866109081326634,0.06802132768462846
cuenta_ahorro_saldo_prom_6m,"(1523502.206, 5133528.919]",76973,12108,64865,0.19644059409956277,0.08122498326739425,-0.8831371899453804,0.10175119078816183
cuenta_ahorro_saldo_prom_6m,"(362166.607, 1523502.206]",76973,7475,69498,0.12127775209078594,0.08702645473493612,-0.33187123700532484,0.011367020422523091
cuenta_ahorro_saldo_prom_6m,"(4452.246, 362166.607]",76972,4707,72265,0.07637148257205201,0.09049130937570632,0.1696444553689551,0.0023953503280099097
cuenta_ahorro_saldo_prom_6m,"(5133528.919, 2015474181.61]",76973,21089,55884,0.34214261958646647,0.0699789191081036,-1.5870336253757713,0.43193294426586176
cuenta_ahorro_saldo_prom_6m,Sin dato,90495,10112,80383,0.1640587610217474,0.10065671955777085,-0.4885087510790909,0.030972452091431926
cuenta_ahorro_saldo_snapshot,"(-0.001, 61.57]",430113,5609,424504,0.0910056944466977,0.5315675127412064,1.7649081318503228,0.7775511356907427
cuenta_ahorro_saldo_snapshot,"(1743151.95, 5504043.276]",86022,14223,71799,0.23075487921608073,0.08990783756370603,-0.9425708996047831,0.1327583227569512
cuenta_ahorro_saldo_snapshot,"(18178.734, 504219.988]",86022,6831,79191,0.11083080517205016,0.09916415181757848,-0.1112281845166223,0.0012976606720026458
cuenta_ahorro_saldo_snapshot,"(504219.988, 1743151.95]",86022,9216,76806,0.14952384042570452,0.09617763808712856,-0.44125896951389654,0.023539490271399843
cuenta_ahorro_saldo_snapshot,"(5504043.276, 2242804776.72]",86023,23480,62543,0.38093577118382843,0.07831740943412765,-1.581860860354118,0.47870014207633543
cuenta_ahorro_saldo_snapshot,"(61.57, 18178.734]",86021,2277,83744,0.03694900955563848,0.1048654503562529,1.0431392612062083,0.07084630588050812
cuenta_ahorro_tendencia_6m,"(-3639021000.521, 0.0]",400964,6625,394339,0.1074913810586088,0.49379561563934365,1.5247110298985518,0.589002327361764
cuenta_ahorro_tendencia_6m,"(0.0, 2107032828.455]",13146,1680,11466,0.0272642466031231,0.014358458705578656,-0.6412369702359756,0.008275668329929521
cuenta_ahorro_tendencia_6m,Sin dato,446113,53331,392782,0.8652443723382681,0.4918459256550777,-0.5648464701967084,0.21091279458593395
cuenta_ahorro_tenencia,0,386941,4935,382006,0.08007365705663806,0.4783524170160333,1.7874008106451071,0.7118837784141512
cuenta_ahorro_tenencia,1,473282,56701,416581,0.919926342943362,0.5216475829839667,-0.5673013733222265,0.2259440874900383
cuenta_corriente_n_obs_ventana,0,856027,60426,795601,0.9803290124758676,0.9962577793360798,0.016117796355231816,0.0002567366204428667
cuenta_corriente_n_obs_ventana,1,2855,794,2061,0.012889566670452149,0.002581424761141512,-1.6080767193785395,0.016576283024412684
cuenta_corriente_n_obs_ventana,2,625,196,429,0.0031879167410243515,0.000537822912883958,-1.7795935754337295,0.004716089950855222
cuenta_corriente_n_obs_ventana,3,496,160,336,0.002603870925874852,0.00042136766050163415,-1.8212486790340117,0.00397488118904839
cuenta_corriente_n_obs_ventana,4,203,54,149,0.0008841804701568812,0.00018720494872212273,-1.552457194387181,0.0010820246625631478
cuenta_corriente_n_obs_ventana,5,17,6,11,0.00010545271662421519,1.4400380670932518e-05,-1.9910080270811106,0.0001812859317674718
cuenta_corriente_saldo_prom_6m,"(-14997193.551, 0.0]",855156,60132,795024,0.975583046035287,0.9955371258163622,0.020247128243437128,0.0004040128123072058
cuenta_corriente_saldo_prom_6m,"(0.0, 1056795163.02]",3618,1091,2527,0.017708375583046037,0.0031649591748441155,-1.7218975678702142,0.025042273341806656
cuenta_corriente_saldo_prom_6m,Sin dato,1449,413,1036,0.006708578381667005,0.0012979150087936403,-1.6426279253627538,0.008887706751019214
cuenta_corriente_saldo_snapshot,"(-16945830.150999997, 0.0]",855359,60173,795186,0.976256144848062,0.995740607171658,0.0197617936263285,0.0003850479233588776
cuenta_corriente_saldo_snapshot,"(0.0, 1056795163.02]",4864,1463,3401,0.02374385515193796,0.004259392828342023,-1.7181971449945284,0.033478147536155994
cuenta_corriente_tendencia_6m,"(-197469283.461, 0.0]",855175,60199,794976,0.9766700466436828,0.995477019766751,0.01907316506172146,0.00035870850268763735
cuenta_corriente_tendencia_6m,"(0.0, 229671278.935]",520,150,370,0.002441695396471304,0.00046394357043708995,-1.6606849822276306,0.0032844227560682926
cuenta_corriente_tendencia_6m,Sin dato,4528,1287,3241,0.020888257959845873,0.004059036662811949,-1.6382415106976829,0.027570328921518474
cuenta_corriente_tenencia,0,854578,60013,794565,0.9736603014423155,0.9949629846679389,0.021643058804820522,0.00046105522575262973
cuenta_corriente_tenencia,1,5645,1623,4022,0.026339698557684508,0.0050370153320610875,-1.6542635413240656,0.035240252192524565
cv_saldo_liquido,"(-0.001, 0.00557]",13187,1854,11333,0.03008525100784374,0.01419184377514189,-0.751367634371915,0.011941791794544672
cv_saldo_liquido,"(0.00557, 0.0612]",13186,3004,10182,0.04874151342845323,0.01275055801300413,-1.3409560623980958,0.048262289855846054
cv_saldo_liquido,"(0.0612, 0.151]",13186,2852,10334,0.04627564222155529,0.01294089288341676,-1.2742234482310213,0.042475919247559626
cv_saldo_liquido,"(0.151, 0.261]",13186,2848,10338,0.046210750874005335,0.012945901695796042,-1.2724332072263063,0.04232729872772821
cv_saldo_liquido,"(0.261, 0.377]",13186,2875,10311,0.046648767469967475,0.012912092212235902,-1.2844822530563882,0.043334160645682754
cv_saldo_liquido,"(0.377, 0.458]",13186,2451,10735,0.03977028462967319,0.01344302632443956,-1.084659533391207,0.028556111708824487
cv_saldo_liquido,"(0.458, 0.643]",13186,2628,10558,0.042641726758758304,0.01322138637665643,-1.1709975766898877,0.03445114729283294
cv_saldo_liquido,"(0.643, 0.868]",13186,2355,10831,0.038212892288474486,0.013563237821542276,-1.0358099217274306,0.02553235666400126
cv_saldo_liquido,"(0.868, 1.251]",13186,2184,11002,0.03543878718071429,0.013777364550756488,-0.9447799078529249,0.02046527687629479
cv_saldo_liquido,"(1.251, 68.5]",13186,1810,11376,0.029371446184794335,0.014245688508219148,-0.7235686840951953,0.010944524577982305
cv_saldo_liquido,Sin dato,728362,36775,691587,0.5966029379557604,0.8660080078387914,0.37264235887974567,0.1003917407353754
cv_saldo_liquido_insuficiente,0,138330,25036,113294,0.4061927089248341,0.14186852294299437,-1.0519269655857908,0.27804973889081086
cv_saldo_liquido_insuficiente,1,721893,36600,685293,0.5938072910751659,0.8581314770570057,0.36820248348577445,0.09732482172386911
desc_segmento,personal,645970,22088,623882,0.35836138714256743,0.7812315103460669,0.7793295954841516,0.32955520205851657
desc_segmento,plus,196072,32296,163776,0.5239748529709998,0.20508246737838073,-0.9380315145160162,0.2991311074250698
desc_segmento,preferencial,18181,7252,10929,0.11766375988643277,0.013686022275552427,-2.151456024300344,0.22370352997604895
desc_tipo_de_vivienda,ARRENDADA,45949,3337,42612,0.05414635333436083,0.05335970482957765,-0.014634757487699665,1.151241009556341e-05
desc_tipo_de_vivienda,FAMILIAR,129359,14392,114967,0.23349854392952457,0.14396320011720665,-0.48361812906694573,0.04330091545987893
desc_tipo_de_vivienda,NO INFORMA,18190,1673,16517,0.02715023889289973,0.02068334231792429,-0.2720571879726937,0.001759365697098062
desc_tipo_de_vivienda,PROPIA,75034,8926,66108,0.144820201659677,0.08278157927195387,-0.5592874203651211,0.034697421078235514
desc_tipo_de_vivienda,Sin dato,591691,33308,558383,0.5403846621835379,0.6992121734633375,0.2576730114060626,0.04092556312559635
dias_desde_ultimo_dato,"(-0.001, 31.0]",320618,48092,272526,0.7802284268077029,0.3412595950362514,-0.8269432682654537,0.36300232041175223
dias_desde_ultimo_dato,"(120.0, 182.0]",56297,2593,53704,0.04207563393306186,0.06724915162974743,0.4689355965285289,0.011804758537816727
dias_desde_ultimo_dato,"(182.0, 365.0]",46342,1508,44834,0.024473142004250555,0.05614207540790644,0.8303092671743403,0.026295008886582504
dias_desde_ultimo_dato,"(31.0, 92.0]",70111,6461,63650,0.10482811207190253,0.07970360259958176,-0.27400719409972674,0.00688429634364262
dias_desde_ultimo_dato,"(92.0, 120.0]",34792,1690,33102,0.02742581806972858,0.04145118270952554,0.41303157951724756,0.005792918510480689
dias_desde_ultimo_dato,Sin dato,332063,1292,330771,0.020968867113353558,0.41419439261698743,2.98329659171253,1.1731083700093594
dif_ingreso_declarado_estimado,"(-1397013.12, -887221.0]",74562,5403,69159,0.08766009912153339,0.08660173993620025,-0.012146918731300957,1.285580301276745e-05
dif_ingreso_declarado_estimado,"(-260899.065, -78241.12]",74562,4999,69563,0.08110607301898883,0.0871076299865075,0.07138663891353365,0.0004284309801592581
dif_ingreso_declarado_estimado,"(-263559612.001, -1397013.12]",74562,7580,66982,0.12297721502559153,0.08387569379877723,-0.38266322744216635,0.014962714310551137
dif_ingreso_declarado_estimado,"(-441316.46, -260899.065]",74561,4372,70189,0.07093435429053478,0.0878915091238648,0.21434834113778758,0.0036347380089409064
dif_ingreso_declarado_estimado,"(-633620.07, -441316.46]",74562,3876,70686,0.06288782719434148,0.08851385406199032,0.3418064641799476,0.008759141634611388
dif_ingreso_declarado_estimado,"(-78241.12, 72889.38]",74561,6425,68136,0.1042398384205446,0.08532073617019945,-0.20027686083523766,0.0037890584085200083
dif_ingreso_declarado_estimado,"(-887221.0, -633620.07]",74561,4059,70502,0.0658566063447515,0.08828344869254344,0.2930728987153597,0.006572699695899765
dif_ingreso_declarado_estimado,"(369804.85, 961271.5]",74561,7173,67388,0.11637452041238451,0.08438408825527412,-0.3214347584879126,0.010282836834344732
dif_ingreso_declarado_estimado,"(72889.38, 369804.85]",74562,6544,68018,0.1061703560101555,0.08517297620501069,-0.22036073339797257,0.004626998013297488
dif_ingreso_declarado_estimado,"(961271.5, 9000002460970.14]",74562,10704,63858,0.1736573574620994,0.0799638113305597,-0.7755099738224822,0.07266027950780587
dif_ingreso_declarado_estimado,Sin dato,114607,501,114106,0.008135752699074487,0.1428845124390725,2.8657684362512104,0.38615874248688414
estimador_ingreso,"(1551240.964, 1734047.67]",76745,1699,75046,0.027570711290283333,0.09397345955540529,1.2262583731150016,0.08142692605795344
estimador_ingreso,"(1734047.67, 1904749.366]",72413,1539,70874,0.02497505738828549,0.08874926824381646,1.2679375608202115,0.0808617173553958
estimador_ingreso,"(1904749.366, 2046172.78]",74580,1296,73284,0.021032908024626266,0.09176707770233254,1.473165342634143,0.10420312730919977
estimador_ingreso,"(2046172.78, 2322294.5]",74578,2664,71914,0.04322574888670782,0.09005155946242921,0.733946032477865,0.03436761788961077
estimador_ingreso,"(2322294.5, 2899730.266]",74579,3703,70876,0.060081276412806306,0.08875177265000611,0.3901451492272378,0.011185655032881279
estimador_ingreso,"(2899730.266, 4556904.239]",74579,5802,68777,0.0941330110396405,0.08612339835397903,-0.08892766074512835,0.0007122761196103797
estimador_ingreso,"(4556904.239, 5655998.552]",74579,9627,64952,0.15618536213427642,0.08133372151629273,-0.6524828113307282,0.04883940890313932
estimador_ingreso,"(5655998.552, 7158174.613]",74579,13360,61219,0.21674521223526358,0.07665924736332985,-1.039352284486263,0.14559866761410672
estimador_ingreso,"(67058.499, 1551240.964]",74580,2787,71793,0.04522115782386866,0.089900042887956,0.68713334777533,0.030700351868955523
estimador_ingreso,"(7158174.613, 300000000.0]",74580,18659,55921,0.3027100249020546,0.07002507536697376,-1.463921936322717,0.3406326018765492
estimador_ingreso,Sin dato,114431,500,113931,0.008119529862187001,0.142665376897479,2.8662296126826443,0.38563929103602324
falta_estimador,0,745792,61136,684656,0.991879877346399,0.8573338191908719,-0.14577464517094105,0.019613403886770762
falta_estimador,1,114431,500,113931,0.008120122653600922,0.1426661808091281,2.866162242181622,0.38563083171974466
fiducuenta_n_obs_ventana,0,682800,19334,663466,0.31366807268007785,0.8307963650980289,0.9740493833940227,0.5037084943653091
fiducuenta_n_obs_ventana,1,13836,3473,10363,0.056351395197923426,0.012977231148360049,-1.468410627927665,0.0636910834678569
fiducuenta_n_obs_ventana,2,38999,9454,29545,0.1533825438027255,0.036997036029707324,-1.422097285039104,0.1655115146219067
fiducuenta_n_obs_ventana,3,61439,14560,46879,0.2362183646982479,0.058702765245288266,-1.3922698175470725,0.2471496112621313
fiducuenta_n_obs_ventana,4,45876,10639,35237,0.17260707332900713,0.044124589433139114,-1.3640005482795718,0.17525017847828525
fiducuenta_n_obs_ventana,5,15022,3587,11435,0.058200843608046726,0.014319595387376016,-1.4022709435541514,0.06153339934673384
fiducuenta_n_obs_ventana,6,2145,560,1585,0.009093121349772875,0.0019853717359699773,-1.5217120629255012,0.010815948327577941
fiducuenta_n_obs_ventana,7,106,29,77,0.00047858533419857237,9.704592213035209e-05,-1.5956502413781615,0.0006088034549619375
fiducuenta_saldo_prom_6m,"(-0.001, 192.891]",685433,19606,665827,0.3180911126253285,0.8337549102229056,0.9636016271037822,0.4968944744035407
fiducuenta_saldo_prom_6m,"(192.891, 232223.645]",85679,14649,71030,0.23766994386579707,0.08894500174683097,-0.9828646998910838,0.1461764956020764
fiducuenta_saldo_prom_6m,"(232223.645, 4024677856.043]",85680,26319,59361,0.42700120055809726,0.0743329797931101,-1.7482320982019435,0.6165459035571197
fiducuenta_saldo_prom_6m,Sin dato,3431,1062,2369,0.017237742950777117,0.002967108237153279,-1.759513516358321,0.025109374665633403
fiducuenta_saldo_snapshot,"(-0.001, 225.19]",688179,20234,667945,0.32828229568038936,0.8364076116798577,0.9352421722460079,0.47522022430853195
fiducuenta_saldo_snapshot,"(128878.386, 3995812951.53]",86023,26110,59913,0.4236138714256743,0.07502424590386664,-1.7310110196994024,0.6034124831311372
fiducuenta_saldo_snapshot,"(225.19, 128878.386]",86021,15292,70729,0.2481038328939363,0.08856814241627571,-1.0300751130226644,0.16433374439992504
fiducuenta_tendencia_6m,"(-1185099789.391, 0.0]",713710,28330,685380,0.4596271780395211,0.8582393446441161,0.6244673387066878,0.2489202788556783
fiducuenta_tendencia_6m,"(0.0, 58.982]",21346,3570,17776,0.057926928193646775,0.022259885873709754,-0.956396138659944,0.03411182155220857
fiducuenta_tendencia_6m,"(58.982, 1678588470.855]",81673,18835,62838,0.3055825951523411,0.07868690903581191,-1.3567433011262633,0.3078392021930483
fiducuenta_tendencia_6m,Sin dato,43494,10901,32593,0.17686329861449107,0.040813860446362274,-1.4663553694238949,0.19949682416493986
fiducuenta_tendencia_relativa_6m,"(-0.243, 0.012]",13736,3507,10229,0.05690160038285895,0.012809411558460666,-1.4911432882274158,0.06574777142875737
fiducuenta_tendencia_relativa_6m,"(-1.248, -0.243]",13736,4232,9504,0.06866315712628668,0.011901564314716204,-1.7525429225077631,0.09947712775218537
fiducuenta_tendencia_relativa_6m,"(-5.0, -1.248]",13736,3748,9988,0.060811304072743204,0.01250763061260906,-1.5814367868710109,0.07638920615086106
fiducuenta_tendencia_relativa_6m,"(0.012, 0.0172]",13736,2637,11099,0.04278773229074568,0.013898828250954022,-1.1244468946901807,0.032484038438546345
fiducuenta_tendencia_relativa_6m,"(0.0172, 0.0205]",13736,2640,11096,0.042836400801408145,0.013895071641669563,-1.125854008030885,0.032583711432232806
